k11	r11	r12	K	r0	r2	er1	value	fevals	gevals	niter	convcode	kkt1	kkt2	xtime	init_k11	init_r11	init_r12	init_K	init_r0	init_r2	init_er1	parscale1	parscale2	parscale3	parscale4	parscale5	parscale6	parscale7	step1	step2	step3	step4	step5	step6	step7
2.86050259155302	3.29770384974628	0.162934049254421	0.869205154983499	0.497634239511009	1e-07	0.172747218194425	-4540.19030124588	220	220	NA	0	0	0	30.461	4.85853305383306e-05	1.56349840674115	0.0285615358448815	0.085181244466924	2.26730122282229e-05	0.00158728822647581	0.178330223517946	1	1	1	1	1	1	1	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
0.00897481238761606	0.669425219117285	0.683381641594727	1.07579906901654	0.747998322600315	0.900079570686985	4.81842750217189	-10563.4688539668	2	2	NA	0	1	0	0.159999999999997	0.00900453743331831	6.70002988637282e-06	2.00747167968939e-05	0.911614483840153	0.750475731972703	0.659416815421753	4.82224024328596	1	1	1	1	1	1	1	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
0.000366278015592885	5.32604673912774e-05	6.78587187989423	0.89910606253091	0.0180717031589226	5.39482083035274	0.0153492770639458	-10563.2365482358	57	57	NA	0	0	0	5.411	0.000226544929088317	5.32513436717906e-05	6.78587187077776	0.899106261137382	0.0180717027574172	5.39482083063077	0.0153492804544977	1	1	1	1	1	1	1	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
0.00950664968778957	0.082862212163128	0.0335802048456596	0	69.3582734515481	1e-07	0.205123921504699	-698.478653796941	473	473	NA	0	0	0	53.902	0.487273639217656	8.4045023299009e-05	0.0211774435626496	0.239174918975494	2.66490063103599	0.00207658453571331	0.00127752470679813	0.001	0.001	0.01	0.1	0.01	0.01	0.001	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07
0.0581466185615982	0.42777427646442	0	0	0.066829359520378	1e-07	0.399033479260658	-10552.8872765222	70	70	NA	52	0	0	6.64400000000001	0.000678455147078828	0.427805951412276	2.67926045052313e-05	2.64259055815749e-06	0.00910410012000457	0.000691078762125436	0.401890319442311	0.01	0.001	0.001	0.01	0.01	0.1	0.01	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07
10.0000000014393	0	0.0178229825799367	0.873650481252283	476.476769054371	0.289039017281888	0.193750589651255	-1190.69581731076	830	830	NA	52	0	0	100.258	0.546939122072636	0.000181943396972777	1.31535928190566	2.23543226806672e-06	2.12653739326895e-05	4.80152731086035	3.57226509037495e-06	1	1	1	1	1	1	1	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
0.869874520392221	0	0.00177791329022638	0	0.186492184342593	0.0115000327844285	0.374816179841913	-8311.79067071803	76	76	NA	52	0	1	8.643	1.17437328619862e-05	0.00138267738435901	0.000119124995816121	0.0137602230188048	0.00541049368791365	5.36555988235326e-05	0.00837614664702318	0.01	0.01	0.001	0.1	0.1	0.01	0.1	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
8.13551516934177e-06	2.29242279759147e-06	0.000638435965856615	1.03802362937598	6.12790985465466e-06	3.71481133549526	3.80924638412355	-10563.4688539668	1	1	NA	0	1	0	0.0800000000000125	8.13551516934177e-06	2.29242279759147e-06	0.000638435965856615	1.03802362937598	6.12790985465466e-06	3.71481133549526	3.80924638412355	1	1	1	1	1	1	1	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
0.00952518924985458	0.0831053605285126	0.0335830932960149	0	65.5382909781818	1e-07	0.205122940232836	-698.48446235265	367	367	NA	52	0	0	42.323	2.35338586344341	7.61425035875019e-05	0.000502149181382423	0.111780611164869	4.48677585755914	0.0382738228308335	4.23580656200523e-06	0.1	0.01	0.01	0.001	0.1	0.001	0.01	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
0.00463742258838062	6.18958177879157e-05	1.37906084127296e-05	2.77019731678516	1.5600734687798	6.56986481147804e-06	2.88453238321589	-10563.4688539668	1	1	NA	0	1	NA	0.0769999999999982	0.00463742258838062	6.18958177879157e-05	1.37906084127296e-05	2.77019731678516	1.5600734687798	6.56986481147804e-06	2.88453238321589	1	1	1	1	1	1	1	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
1.33956942538681	0	0.42825973732131	0.0319915312497798	0.572686444681659	0.0963178644755169	0	-5624.7391616984	56	56	NA	52	0	0	7.97800000000001	0.298045566590299	0.00454635339877649	0.442822853501159	0.0309554090617205	0.443607551247184	0.0697419209670037	0.00131163436428375	0.1	0.1	0.001	0.001	0.01	0.001	0.01	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
0.0114139680854649	0.0124941249234438	0.592616750812763	0.000984950944322261	0.0920315055799281	1e-07	0	-10547.2725793849	92	92	NA	52	0	0	8.73400000000004	1.26631534807822e-06	3.17381134141787e-05	0.586212722253006	9.74552478304786e-06	0.00168362233321863	1.11358716879321e-06	0.00107340643996406	1	1	1	1	1	1	1	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
0.467617426205597	0	0	0.607875924308031	0.000129436890022615	2.70411824753382e-06	0.00760441045742066	-10561.0116268696	144	144	NA	52	0	0	12.548	0.254171802944219	4.85995140044353e-06	2.21208929759515e-05	0.607943426982368	5.59961930249784e-05	2.82204086936398e-06	0.010192701394504	0.1	0.001	0.01	0.001	0.001	0.01	0.01	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
