k11	r12	K	r0	r2	er1	value	fevals	gevals	niter	convcode	kkt1	kkt2	xtime	init_k11	init_r12	init_K	init_r0	init_r2	init_er1	parscale1	parscale2	parscale3	parscale4	parscale5	parscale6	step1	step2	step3	step4	step5	step6
1.39133197664876	4.14924865204344	0.00336587888440082	0.593599407124507	0.0300297839007717	0	-28375.6360885344	152	152	NA	52	0	0	18.597	0.025465668895985	0.00019069554038371	0.000501976229170743	1.44395951623816e-05	0.0900617556781414	0.000423084131193441	1	1	1	1	1	1	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
0	1.20876899566199	0.000781594411038013	3.59586396726795e-05	0.00143651226889836	0.0175580724060477	-129773.645232446	2	2	NA	0	0	NA	0.145	1.61986108950518e-06	1.2087691484571	2.48948200825858e-05	1.36942094003371e-05	0.00143667233996567	0.0175584798596736	0.001	0.001	0.1	0.01	0.001	0.001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
0	3.87315028375185e-06	0.000379508095841199	0.159035740435927	0.516121196791926	1.65528752281949	-129773.645232446	3	3	NA	0	1	NA	0.201000000000001	2.74218088879603e-06	3.87315028375185e-06	0.000379508095841199	0.159035740435927	0.516121196791926	1.65528752281949	0.001	0.001	0.1	0.001	0.001	0.01	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07
9.72047313717695	0.0438786442330028	0.000299034556999835	0	2.47323206372563	0.0986391900005706	-4565.13147337331	457	457	NA	52	0	0	42.957	0.00163880241515448	0.00968142077659364	0.00855720114992076	1.41438977055457e-05	3.06836353093617	0.000484278189350098	1	1	1	1	1	1	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
0.0498388232242143	0.0846065793894287	0.439912179016831	50.8442455885002	1e-07	0.0859972821249324	-1532.07562448577	273	273	NA	0	0	0	29.175	5.61862438243309e-05	0.000210241127118845	0.00352852107213026	0.273676568875492	0.00643763553334031	6.61438243042839e-05	1	1	1	1	1	1	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
2.07073812145167	0.0588708353847374	0.589953689608841	2.39273348053102	1.8240175837166e-07	0.0923179366718063	-3039.9315713013	180	180	NA	52	0	0	21.316	1.11218828384817e-05	2.13185900651807e-05	0.000316840038836893	0.00051774056224061	0.00086069163504407	0.662369564818762	0.01	0.01	0.1	0.01	0.001	0.1	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
0.0504437317390786	0.0849947910012629	0.439544359111061	32.0665758678413	1e-07	0.0809218136775643	-1530.98022458564	178	178	NA	0	0	0	18.882	0.00422727194034151	0.000542685439507477	0.00060380154747763	2.44987384255548	0.000106133105155148	0.00335151113557406	1	1	1	1	1	1	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
0.0504428233366282	0.0849944241755898	0.439542742140248	32.0790250283379	1e-07	0.0809221182408702	-1530.98022402772	237	237	NA	0	0	0	25.875	0.0193809841503151	2.80552068699746e-06	1.77323053054264e-06	0.139446499042302	0.0229112576496589	0.065265466687121	1	1	1	1	1	1	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
5.8877509618579	0.151146244448468	0.0311292601838545	0.576640262249479	0.0509327844476922	0.111035357727826	-27065.2363312214	97	97	NA	52	0	0	13.021	6.3057620941574e-06	0.136617889863857	0.0965162664522898	0.473982670831878	8.33998827803679e-05	4.13633288787401e-06	0.1	0.001	0.01	0.001	0.001	0.01	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
9.60394509633663	4.77805263964631	0.000267041393340675	0.113897080818877	1e-07	0	-116917.674086288	71	71	NA	52	0	0	6.381	0.0006053375471963	0.0461814434453081	2.88475655055313e-06	8.28478675517983e-06	0.000111810906853916	1.40329058890381e-05	0.01	0.01	0.001	0.001	0.01	0.1	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07
